case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
mono-00000000,50.045,4.880034143622709,-10,4.678386970959676e-06,32.03407642483466
mono-00000000,50.045,4.880034143622709,-9,2.002565806437966e-06,30.390563401396783
mono-00000000,50.045,4.880034143622709,-8,5.110225692995849e-06,28.66238747828428
mono-00000000,50.045,4.880034143622709,-7,3.0369807479758893e-05,26.83306829812136
mono-00000000,50.045,4.880034143622709,-6,1.8521783196551427e-05,24.880171664681967
mono-00000000,50.045,4.880034143622709,-5,1.8975496733813164e-05,22.771782017983327
mono-00000000,50.045,4.880034143622709,-4,0.0002509923475839781,20.45972785882188
mono-00000000,50.045,4.880034143622709,-3,0.0002727193678765724,17.86493378480536
mono-00000000,50.045,4.880034143622709,-2,0.0005441224806627905,14.83961112712636
mono-00000000,50.045,4.880034143622709,-1,0.04031029654367879,11.034899121714332
mono-00000000,50.045,4.880034143622709,0,0.8153838550384832,4.880034143622737
mono-00000000,50.045,4.880034143622709,1,0.0,0.0
mono-00000000,50.045,4.880034143622709,2,0.0,0.0
mono-00000000,50.045,4.880034143622709,3,0.0,0.0
mono-00000000,50.045,4.880034143622709,4,0.0,0.0
mono-00000000,50.045,4.880034143622709,5,0.0,0.0
mono-00000000,50.045,4.880034143622709,6,0.0,0.0
mono-00000000,50.045,4.880034143622709,7,0.0,0.0
mono-00000000,50.045,4.880034143622709,8,0.0,0.0
mono-00000000,50.045,4.880034143622709,9,0.0,0.0
mono-00000000,50.045,4.880034143622709,10,0.0,0.0
mono-00000010,57.549,4.55335847744027,-10,5.183919017634401e-06,29.820964651190273
mono-00000010,57.549,4.55335847744027,-9,3.1514085762191336e-06,28.29610507094654
mono-00000010,57.549,4.55335847744027,-8,4.0694098790194025e-06,26.691809749441184
mono-00000010,57.549,4.55335847744027,-7,3.3126625752e-05,24.99269849210836
mono-00000010,57.549,4.55335847744027,-6,2.6096418658064073e-05,23.1778354864678
mono-00000010,57.549,4.55335847744027,-5,1.42619118208997e-05,21.217438747204085
mono-00000010,57.549,4.55335847744027,-4,0.00027297214459027857,19.066561243942104
mono-00000010,57.549,4.55335847744027,-3,0.0003631054162726358,16.65142976464307
mono-00000010,57.549,4.55335847744027,-2,0.00045846286160475263,13.834187591702204
mono-00000010,57.549,4.55335847744027,-1,0.04587482503744788,10.28949452111388
mono-00000010,57.549,4.55335847744027,0,0.8039961319861653,4.553358477440241
mono-00000010,57.549,4.55335847744027,1,0.0,0.0
mono-00000010,57.549,4.55335847744027,2,0.0,0.0
mono-00000010,57.549,4.55335847744027,3,0.0,0.0
mono-00000010,57.549,4.55335847744027,4,0.0,0.0
mono-00000010,57.549,4.55335847744027,5,0.0,0.0
mono-00000010,57.549,4.55335847744027,6,0.0,0.0
mono-00000010,57.549,4.55335847744027,7,0.0,0.0
mono-00000010,57.549,4.55335847744027,8,0.0,0.0
mono-00000010,57.549,4.55335847744027,9,0.0,0.0
mono-00000010,57.549,4.55335847744027,10,0.0,0.0
mono-00000001,50.796,4.84413830130174,-10,4.717131579684789e-06,31.79012523717897
mono-00000001,50.796,4.84413830130174,-9,2.0980589414621966e-06,30.15974974922453
mono-00000001,50.796,4.84413830130174,-8,4.978002102637428e-06,28.445279931113525
mono-00000001,50.796,4.84413830130174,-7,3.0546824739030625e-05,26.630356369479863
mono-00000001,50.796,4.84413830130174,-6,1.9165361956220828e-05,24.692709564858518
mono-00000001,50.796,4.84413830130174,-5,1.8426234301719488e-05,22.60065845528048
mono-00000001,50.796,4.84413830130174,-4,0.00025266979095311075,20.306385939313813
mono-00000001,50.796,4.84413830130174,-3,0.0002806382709176375,17.73139941623694
mono-00000001,50.796,4.84413830130174,-2,0.0005347640814969962,14.729002076732911
mono-00000001,50.796,4.84413830130174,-1,0.040807525506477774,10.952919565040716
mono-00000001,50.796,4.84413830130174,0,0.8134566455370351,4.84413830130174
mono-00000001,50.796,4.84413830130174,1,0.0,0.0
