trial_index,loss,blaze_angle_deg,anti_blaze_angle_deg,top_cap_thickness_nm
0,0.0011434884138970182,0.6396311894059181,3.367457628250122,1.573906773328781
1,0.004890455376601125,0.9845458030700683,7.691959336400032,1.1327106728218495
2,0.00628117907342419,1.0953843771480023,4.370165094733238,1.6395670093595982
3,0.0003146434631264611,0.7504695985466241,8.695170380175114,0.37329976567998524
4,0.00031941775963897174,0.7813434237614274,5.02794586867094,0.8940842849202453
5,0.011001078819576831,1.1254892428405583,9.906539529561996,1.3344568017870189
6,0.0006944039316815531,0.6961659931875914,8.557537717551545,2.0
7,0.0002941175561295644,0.6825037724335992,5.90799228629614,0.3
8,0.0023104624249966725,0.5,10.0,0.3
9,0.00017672662294881996,0.7364879664241047,6.45890004114299,0.3
10,0.00026300176448483645,0.7968155267666718,2.0,0.3
11,0.00010873469689235653,0.822468116733834,2.0,2.0
12,0.00030935678564995573,0.6823573070223485,10.0,0.3
13,3.716544283357369e-05,0.8525713741125038,2.0,2.0
14,0.0002500346381654462,0.7941406160405704,2.0,2.0
15,0.0019936963063438683,0.8564598325092607,10.0,2.0
16,7.633367499027369e-05,0.8502829678373108,2.0,1.0898054915485547
17,4.099934911438569e-05,0.8471054565589172,2.0,2.0
18,0.0044810705955197015,1.2,2.0,0.3
19,0.0038418328700461544,1.2,2.0,2.0
20,0.0038168473532485775,0.5,2.0,0.3
21,3.567733394696939e-05,0.8555120909774052,2.0,2.0
22,3.70280975651881e-05,0.8528884596153036,2.0,2.0
23,3.621607510020925e-05,0.854342236743277,2.0,2.0
24,3.514762304590491e-05,0.8567514981953759,2.0,2.0
25,3.528012083322499e-05,0.8538179608012029,2.0,1.8707526638116379
26,3.567733394696939e-05,0.8555290635772181,2.0,2.0
27,4.879074004376509e-05,0.8519810689492145,2.0,1.821819862271385
28,3.5771614672228386e-05,0.8531110254103462,2.0,1.9118125658447334
29,4.9144374574561204e-05,0.8507146124570317,2.0,1.7796776668410774
30,0.0002877076602123935,0.7358507158587871,10.0,0.3
31,3.422211971978115e-05,0.8594103033260448,2.0,2.0
32,8.677926106287766e-05,0.7430456276097716,4.442976891244935,0.3
33,0.0005074415551755121,0.7597278948257641,2.0,0.6593518924596296
34,0.0020545189148644324,0.5186313965064144,10.0,2.0
35,0.0008637919442594475,0.637815469787637,10.0,1.256502660986796
36,6.624552305257302e-05,0.8065814923645234,3.165808670810621,0.3
37,4.434747302935836e-05,0.8429991092853486,2.4027990053438364,2.0
38,0.000351434128796386,0.7529848122034721,3.990534561502549,2.0
39,0.0002186515783257061,0.8963119940128229,2.0,0.7458620327758206
40,0.00044861811182097324,0.9235303231753381,2.0,0.39627781886113445
41,0.00011893465034695,0.8889613217829899,2.0,1.1334942267205845
42,0.0002527501909467942,0.8394566552918223,3.236259838600462,0.6991080752192343
43,0.00023233077152496107,0.7968226290030757,4.207521205089455,0.3
44,0.0035359835335291444,0.5,2.0,2.0
45,0.00037219303613423985,0.7067428024593677,6.824618504835598,1.0001285644499147
46,0.0002465724091091303,0.7186270373212326,5.416565741991953,0.7645511430723863
47,0.0003695429719400594,0.7175307011037474,7.660710147087295,0.9833897046598163
48,0.0008305736123817181,0.811921698694704,5.769255106003573,2.0
49,4.214826786124025e-05,0.7811103029983321,3.2919068464974783,0.4633684271772352
