   50.00000      1.5917840E-05
   50.95487      1.8263423E-05
   51.92797      2.0907310E-05
   52.91966      2.3823166E-05
   53.93029      2.6986991E-05
   54.96022      3.0351033E-05
   56.00982      3.4147542E-05
   57.07946      3.8384915E-05
   58.16953      4.3128144E-05
   59.28041      4.8586873E-05
   60.41252      5.4511369E-05
   61.56624      6.0964867E-05
   62.74199      6.8391899E-05
   63.94020      7.6639837E-05
   65.16129      8.5145693E-05
   66.40570      9.4057134E-05
   67.67388      1.0316903E-04
   68.96628      1.1247754E-04
   70.28335      1.2172450E-04
   71.62558      1.3124743E-04
   72.99345      1.4143380E-04
   74.38743      1.5195517E-04
   75.80804      1.6322825E-04
   77.25577      1.7565234E-04
   78.73116      1.8915429E-04
   80.23471      2.0287685E-04
   81.76699      2.1644213E-04
   83.32852      2.2725393E-04
   84.91988      2.4450975E-04
   86.54163      2.6685829E-04
   88.19435      2.8890601E-04
   89.87863      3.1095211E-04
   91.59509      3.3323944E-04
   93.34431      3.5619488E-04
   95.12695      3.7802444E-04
   96.94362      3.9852655E-04
   98.79499      4.1951414E-04
   100.6817      4.4111582E-04
   102.6045      4.6374163E-04
   104.5640      4.8602049E-04
   106.5609      5.0746033E-04
   108.5959      5.2699778E-04
   110.6698      5.4508861E-04
   112.7833      5.6299742E-04
   114.9372      5.8037281E-04
   117.1322      5.9672038E-04
   119.3691      6.1183411E-04
   121.6487      6.2608998E-04
   123.9719      6.3938252E-04
   126.3394      6.5186113E-04
   128.7522      6.6539954E-04
   131.2110      6.7712192E-04
   133.7168      6.8259600E-04
   136.2704      6.8089558E-04
   138.8729      6.7632337E-04
   141.5250      6.6904660E-04
   144.2277      6.5576466E-04
   146.9821      6.3391385E-04
   149.7891      6.0861517E-04
   152.6497      5.8042485E-04
   155.5649      5.4853258E-04
   158.5358      5.1069661E-04
   161.5634      4.7220866E-04
   164.6488      4.3659832E-04
   167.7932      4.0266852E-04
   170.9976      3.6719019E-04
   174.2632      3.3640620E-04
   177.5912      3.1092920E-04
   180.9827      2.8884845E-04
   184.4390      2.6966116E-04
   187.9613      2.5313796E-04
   191.5509      2.3910048E-04
   195.2090      2.2752816E-04
   198.9370      2.1816792E-04
   202.7362      2.1068910E-04
   206.6079      2.0438402E-04
   210.5536      1.9950105E-04
   214.5746      1.9706339E-04
   218.6724      1.9374127E-04
   222.8485      1.8990286E-04
   227.1043      1.8615740E-04
   231.4414      1.8280269E-04
   235.8613      1.7950016E-04
   240.3657      1.7548974E-04
   244.9560      1.7112655E-04
   249.6341      1.6679842E-04
   254.4014      1.6215924E-04
   259.2598      1.5677001E-04
   264.2110      1.5095821E-04
   269.2568      1.4495959E-04
   274.3989      1.3885037E-04
   279.6392      1.3206140E-04
   284.9796      1.2441246E-04
   290.4219      1.1637303E-04
   295.9682      1.0813474E-04
   301.6205      9.9802652E-05
   307.3806      9.1489273E-05
   313.2508      8.3201339E-05
   319.2331      7.4924610E-05
   325.3296      6.6820197E-05
   331.5425      5.9057162E-05
   337.8741      5.1756033E-05
   344.3266      4.5039043E-05
   350.9024      3.9051967E-05
   357.6037      3.3864872E-05
   364.4330      2.9633267E-05
   371.3927      2.6531834E-05
   378.4854      2.4715455E-05
   385.7134      2.4324936E-05
   393.0796      2.5503105E-05
   400.5864      2.8420463E-05
   408.2365      3.3307246E-05
   416.0328      4.0131505E-05
   423.9779      4.8935148E-05
   432.0748      5.9810136E-05
   440.3263      7.2817231E-05
   448.7354      8.8068933E-05
   457.3051      1.0562287E-04
   466.0384      1.2521248E-04
   474.9385      1.4676871E-04
   484.0086      1.7022669E-04
   493.2519      1.9548042E-04
   502.6717      2.2241553E-04
   512.2714      2.5092097E-04
   522.0545      2.8072172E-04
   532.0244      3.1153127E-04
   542.1847      3.4312936E-04
   552.5390      3.7528508E-04
   563.0911      4.0782444E-04
   573.8446      4.4046703E-04
   584.8035      4.7254137E-04
   595.9718      5.0374097E-04
   607.3533      5.3379114E-04
   618.9521      5.6249346E-04
   630.7725      5.8962824E-04
   642.8187      6.1526679E-04
   655.0948      6.3979346E-04
   667.6054      6.6069758E-04
