case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000023,62.572,4.0,9,0.0,0.0
fixed-00000023,62.572,4.0,10,0.0,0.0
fixed-00000023,62.572,4.0,11,0.0,0.0
fixed-00000023,62.572,4.0,12,0.0,0.0
fixed-00000023,62.572,4.0,13,0.0,0.0
fixed-00000023,62.572,4.0,14,0.0,0.0
fixed-00000023,62.572,4.0,15,0.0,0.0
fixed-00000018,60.073,4.0,-15,8.42946816587336e-05,29.104419234926205
fixed-00000018,60.073,4.0,-14,6.653156692534218e-05,28.11664456466398
fixed-00000018,60.073,4.0,-13,9.75069574524242e-05,27.095914133289355
fixed-00000018,60.073,4.0,-12,0.00021921402972261187,26.038330537949356
fixed-00000018,60.073,4.0,-11,0.00021936275162404446,24.93918307765719
fixed-00000018,60.073,4.0,-10,0.0002750020240670928,23.792688561469575
fixed-00000018,60.073,4.0,-9,0.0003903345245556909,22.591615235118525
fixed-00000018,60.073,4.0,-8,0.0006055140207276167,21.326718152323778
fixed-00000018,60.073,4.0,-7,0.0008594745720273843,19.985855757801033
fixed-00000018,60.073,4.0,-6,0.0005188368123943166,18.552535599532177
fixed-00000018,60.073,4.0,-5,0.0018061985725472665,17.003361072937125
fixed-00000018,60.073,4.0,-4,0.0035354335571801394,15.303153723801174
fixed-00000018,60.073,4.0,-3,0.0005530235200424881,13.394484631482271
fixed-00000018,60.073,4.0,-2,0.010855334617138326,11.17096127837496
fixed-00000018,60.073,4.0,-1,0.048092455463439335,8.385700391212538
fixed-00000018,60.073,4.0,0,0.7584454389546985,4.000000000000043
fixed-00000018,60.073,4.0,1,0.0,0.0
fixed-00000018,60.073,4.0,2,0.0,0.0
fixed-00000018,60.073,4.0,3,0.0,0.0
fixed-00000018,60.073,4.0,4,0.0,0.0
fixed-00000018,60.073,4.0,5,0.0,0.0
fixed-00000018,60.073,4.0,6,0.0,0.0
fixed-00000018,60.073,4.0,7,0.0,0.0
fixed-00000018,60.073,4.0,8,0.0,0.0
fixed-00000018,60.073,4.0,9,0.0,0.0
fixed-00000018,60.073,4.0,10,0.0,0.0
fixed-00000018,60.073,4.0,11,0.0,0.0
fixed-00000018,60.073,4.0,12,0.0,0.0
fixed-00000018,60.073,4.0,13,0.0,0.0
fixed-00000018,60.073,4.0,14,0.0,0.0
fixed-00000018,60.073,4.0,15,0.0,0.0
fixed-00000001,51.535,4.0,-15,4.157988586318896e-05,31.436421708706995
fixed-00000001,51.535,4.0,-14,3.212360954009875e-05,30.36275821356324
fixed-00000001,51.535,4.0,-13,5.0380730616030826e-05,29.253591196974362
fixed-00000001,51.535,4.0,-12,0.00011745400578259144,28.104684382152477
fixed-00000001,51.535,4.0,-11,0.00012256522794158742,26.910914314750777
fixed-00000001,51.535,4.0,-10,0.00015945549590111604,25.66598646074098
fixed-00000001,51.535,4.0,-9,0.00021675871948345946,24.362022719115586
fixed-00000001,51.535,4.0,-8,0.0003785816501616715,22.988941118718657
fixed-00000001,51.535,4.0,-7,0.00055017404219518,21.533483385001645
fixed-00000001,51.535,4.0,-6,0.0002956567996652026,19.977610201627357
fixed-00000001,51.535,4.0,-5,0.0012381399640479668,18.295674988789102
fixed-00000001,51.535,4.0,-4,0.0024287666990421737,16.449002142991773
fixed-00000001,51.535,4.0,-3,0.0003190463834101788,14.374181651570808
fixed-00000001,51.535,4.0,-2,0.007909329219554785,11.952922998109997
fixed-00000001,51.535,4.0,-1,0.03475985111241883,8.906956102060562
fixed-00000001,51.535,4.0,0,0.7402874666584168,4.000000000000043
fixed-00000001,51.535,4.0,1,0.0,0.0
fixed-00000001,51.535,4.0,2,0.0,0.0
fixed-00000001,51.535,4.0,3,0.0,0.0
fixed-00000001,51.535,4.0,4,0.0,0.0
fixed-00000001,51.535,4.0,5,0.0,0.0
fixed-00000001,51.535,4.0,6,0.0,0.0
fixed-00000001,51.535,4.0,7,0.0,0.0
fixed-00000001,51.535,4.0,8,0.0,0.0
fixed-00000001,51.535,4.0,9,0.0,0.0
fixed-00000001,51.535,4.0,10,0.0,0.0
fixed-00000001,51.535,4.0,11,0.0,0.0
fixed-00000001,51.535,4.0,12,0.0,0.0
fixed-00000001,51.535,4.0,13,0.0,0.0
fixed-00000001,51.535,4.0,14,0.0,0.0
fixed-00000001,51.535,4.0,15,0.0,0.0
fixed-00000006,54.057,4.0,-15,5.289218730391212e-05,30.688609656937764
fixed-00000006,54.057,4.0,-14,4.180653696282121e-05,29.64256157683033
fixed-00000006,54.057,4.0,-13,6.345031138308124e-05,28.561816972545593
fixed-00000006,54.057,4.0,-12,0.00014711578625055115,27.442247719473542
fixed-00000006,54.057,4.0,-11,0.00015168476228640855,26.278862067261095
fixed-00000006,54.057,4.0,-10,0.0001942429911449837,25.065528613335786
fixed-00000006,54.057,4.0,-9,0.0002667636485767715,23.79457542032381
fixed-00000006,54.057,4.0,-8,0.0004492173616784114,22.456187454023294
fixed-00000006,54.057,4.0,-7,0.0006476658129059771,21.03746251338076
fixed-00000006,54.057,4.0,-6,0.00035795724146693873,19.52085442671239
fixed-00000006,54.057,4.0,-5,0.001419221863325493,17.88143379652999
fixed-00000006,54.057,4.0,-4,0.002779763833148596,16.081639590247534
fixed-00000006,54.057,4.0,-3,0.0003822831943837875,14.059967941363013
fixed-00000006,54.057,4.0,-2,0.008839213375169365,11.7019212363317
fixed-00000006,54.057,4.0,-1,0.03883476960551425,8.7392517563069
fixed-00000006,54.057,4.0,0,0.7500722668422466,3.999999999999943
fixed-00000006,54.057,4.0,1,0.0,0.0
fixed-00000006,54.057,4.0,2,0.0,0.0
fixed-00000006,54.057,4.0,3,0.0,0.0
fixed-00000006,54.057,4.0,4,0.0,0.0
fixed-00000006,54.057,4.0,5,0.0,0.0
fixed-00000006,54.057,4.0,6,0.0,0.0
fixed-00000006,54.057,4.0,7,0.0,0.0
fixed-00000006,54.057,4.0,8,0.0,0.0
fixed-00000006,54.057,4.0,9,0.0,0.0
fixed-00000006,54.057,4.0,10,0.0,0.0
fixed-00000006,54.057,4.0,11,0.0,0.0
fixed-00000006,54.057,4.0,12,0.0,0.0
fixed-00000006,54.057,4.0,13,0.0,0.0
fixed-00000006,54.057,4.0,14,0.0,0.0
fixed-00000006,54.057,4.0,15,0.0,0.0
fixed-00000016,59.073,4.0,-15,7.82023785381825e-05,29.350394306014117
fixed-00000016,59.073,4.0,-14,6.190802561558797e-05,28.35359074424963
fixed-00000016,59.073,4.0,-13,9.114516263482613e-05,27.323558404568033
fixed-00000016,59.073,4.0,-12,0.00020606108760009754,26.256363910979104
fixed-00000016,59.073,4.0,-11,0.00020723006370308266,25.147252735429007
fixed-00000016,59.073,4.0,-10,0.0002605981804945395,23.990387378291857
fixed-00000016,59.073,4.0,-9,0.0003679278944799184,22.77846742227821
fixed-00000016,59.073,4.0,-8,0.000578237647415897,21.502158981885955
fixed-00000016,59.073,4.0,-7,0.0008229357224506857,20.1492018170636
fixed-00000016,59.073,4.0,-6,0.0004895539478862803,18.70293903956626
fixed-00000016,59.073,4.0,-5,0.001740312439177429,17.139734816837546
fixed-00000016,59.073,4.0,-4,0.003407180440296276,15.424038800969086
fixed-00000016,59.073,4.0,-3,0.0005217596208139372,13.497786014864232
fixed-00000016,59.073,4.0,-2,0.010515735402106522,11.253319207483614
fixed-00000016,59.073,4.0,-1,0.04651570772351166,8.440426696300477
fixed-00000016,59.073,4.0,0,0.7574242787493279,3.999999999999943
fixed-00000016,59.073,4.0,1,0.0,0.0
fixed-00000016,59.073,4.0,2,0.0,0.0
fixed-00000016,59.073,4.0,3,0.0,0.0
fixed-00000016,59.073,4.0,4,0.0,0.0
fixed-00000016,59.073,4.0,5,0.0,0.0
fixed-00000016,59.073,4.0,6,0.0,0.0
fixed-00000016,59.073,4.0,7,0.0,0.0
fixed-00000016,59.073,4.0,8,0.0,0.0
fixed-00000016,59.073,4.0,9,0.0,0.0
fixed-00000016,59.073,4.0,10,0.0,0.0
fixed-00000016,59.073,4.0,11,0.0,0.0
fixed-00000016,59.073,4.0,12,0.0,0.0
fixed-00000016,59.073,4.0,13,0.0,0.0
fixed-00000016,59.073,4.0,14,0.0,0.0
fixed-00000016,59.073,4.0,15,0.0,0.0
fixed-00000030,66.072,4.0,-15,0.0001157216627873754,27.75121288639521
fixed-00000030,66.072,4.0,-14,9.015005913115505e-05,26.81299524586587
fixed-00000030,66.072,4.0,-13,0.00012965823190383102,25.843341384647317
fixed-00000030,66.072,4.0,-12,0.0002844640597453068,24.838552841815556
fixed-00000030,66.072,4.0,-11,0.0002775502048611214,23.79416133611882
fixed-00000030,66.072,4.0,-10,0.0003427705846572826,22.704684124569184
fixed-00000030,66.072,4.0,-9,0.0005048481290647878,21.563269375652766
fixed-00000030,66.072,4.0,-8,0.0007321517513681167,20.36116433784396
fixed-00000030,66.072,4.0,-7,0.001023283540194316,19.086884370550322
fixed-00000030,66.072,4.0,-6,0.0006764648517149413,17.724847311397866
fixed-00000030,66.072,4.0,-5,0.002105429094927853,16.252981064826827
fixed-00000030,66.072,4.0,-4,0.004120277325232844,14.638166387503972
fixed-00000030,66.072,4.0,-3,0.0007321112010688917,12.82649606643298
fixed-00000030,66.072,4.0,-2,0.012470032096523536,10.718576564736239
fixed-00000030,66.072,4.0,-1,0.0561303958803612,8.08590137049211
fixed-00000030,66.072,4.0,0,0.7471835476677058,4.000000000000043
fixed-00000030,66.072,4.0,1,0.0,0.0
fixed-00000030,66.072,4.0,2,0.0,0.0
fixed-00000030,66.072,4.0,3,0.0,0.0
fixed-00000030,66.072,4.0,4,0.0,0.0
fixed-00000030,66.072,4.0,5,0.0,0.0
fixed-00000030,66.072,4.0,6,0.0,0.0
fixed-00000030,66.072,4.0,7,0.0,0.0
fixed-00000030,66.072,4.0,8,0.0,0.0
fixed-00000030,66.072,4.0,9,0.0,0.0
fixed-00000030,66.072,4.0,10,0.0,0.0
fixed-00000030,66.072,4.0,11,0.0,0.0
fixed-00000030,66.072,4.0,12,0.0,0.0
fixed-00000030,66.072,4.0,13,0.0,0.0
fixed-00000030,66.072,4.0,14,0.0,0.0
fixed-00000030,66.072,4.0,15,0.0,0.0
fixed-00000026,64.072,4.0,-15,0.00010754077304477497,28.180598891265376
fixed-00000026,64.072,4.0,-14,8.37786357599887e-05,27.2266764353435
fixed-00000026,64.072,4.0,-13,0.00012109921541331667,26.240832398244265
fixed-00000026,64.072,4.0,-12,0.0002671961446333859,25.219304997827777
fixed-00000026,64.072,4.0,-11,0.00026248624999254444,24.15754878537085
fixed-00000026,64.072,4.0,-10,0.0003256689000007374,23.049985369551933
fixed-00000026,64.072,4.0,-9,0.0004733706713103269,21.889641958134206
fixed-00000026,64.072,4.0,-8,0.0007001936508325836,20.667609078872843
fixed-00000026,64.072,4.0,-7,0.0009835825768674947,19.37219290248389
fixed-00000026,64.072,4.0,-6,0.0006308344079639202,17.987521367377752
fixed-00000026,64.072,4.0,-5,0.002030984102564893,16.491100530350636
fixed-00000026,64.072,4.0,-4,0.003973762564548595,14.849155273841419
fixed-00000026,64.072,4.0,-3,0.0006771573321516039,13.00665674911275
fixed-00000026,64.072,4.0,-2,0.012042076355938753,10.861983038173847
fixed-00000026,64.072,4.0,-1,0.05384086519767168,8.180785078112592
fixed-00000026,64.072,4.0,0,0.754968776002571,4.000000000000043
fixed-00000026,64.072,4.0,1,0.0,0.0
fixed-00000026,64.072,4.0,2,0.0,0.0
fixed-00000026,64.072,4.0,3,0.0,0.0
fixed-00000026,64.072,4.0,4,0.0,0.0
fixed-00000026,64.072,4.0,5,0.0,0.0
fixed-00000026,64.072,4.0,6,0.0,0.0
