trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,top_cap_thickness_nm
0,0.0008135918844058124,0.559841938316822,14.24186440706253,16.240353882312775,0.6133334159851074
1,0.00011678093951917602,0.7148598993197084,15.025467954203487,8.43977018725127,1.362469544634223
2,0.00024458236717535075,0.7698737177997828,14.743462269753218,17.366110463626683,1.0935385241173208
3,0.0011311552019339936,0.6148559023626149,15.52682929635048,10.064027272164822,1.626013820618391
4,0.0011996592969765166,0.6042677959427237,14.630942705646158,6.088323965668678,1.7893493670970202
5,0.00023822338849185782,0.758626503776759,15.69891643486917,13.903441769070923,0.8351596149615943
6,0.00043528940051070105,0.6659845025278628,14.132273567467928,12.400081190280616,1.5224720999598502
7,0.0005239548900766891,0.5116256505250931,15.20048381537199,19.71669835038483,0.35828627413138747
8,0.00010060270433749945,0.7193277841807109,13.9,20.0,2.0
9,0.00013005894852847878,0.7087138011650512,13.9,20.0,0.3
10,0.00040207737225891264,0.7475374858360194,15.9,5.0,2.0
11,0.00013715301844689182,0.7184473223709316,13.9,20.0,1.1855856934345452
12,0.00024591542541030137,0.7115504525912043,15.9,20.0,1.2033968628722904
13,0.00011669318375542982,0.722929610483886,13.9,5.0,0.3692828288476398
14,0.0001318227769449174,0.7124378073435904,13.9,11.652152846368786,0.3
15,0.00015360213423885118,0.7130290157461618,13.9,12.148954992986003,2.0
16,0.0003773293248674279,0.7009477745036807,15.9,5.0,0.3
17,7.933285415986269e-05,0.7336003960612312,14.591731341979663,20.0,0.3
18,5.187862891422911e-05,0.7190006408376642,14.634353290263734,20.0,2.0
19,4.210862085164015e-06,0.7399114631988724,14.689456819086626,5.0,0.3
