trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,right_wall_angle_deg,top_cap_thickness_nm
0,0.0008346305050077285,0.559841938316822,14.24186440706253,16.240353882312775,7.764706611633301,1.2358881592750548
1,0.00011490380588200281,0.7197277882136405,15.621464194357396,8.110796078108251,17.102548028342426,0.5566408539190888
2,0.0001602575485373572,0.7550492544658483,14.741171039268375,18.500099722296,10.5992944072932,0.8399108720943331
3,0.0013005517173246,0.5951631176285446,15.120267314463854,11.36572637129575,16.142949406057596,1.9669865101575852
4,0.0014053337982656239,0.6180788500234484,14.457413699105382,5.313917389139533,13.554664757102728,1.6688310614787043
5,0.0003080521606977748,0.7769394520670176,15.280968473851681,13.413949492387474,11.583585431799293,0.9668526791967451
6,0.0002691853964365636,0.6669475577771664,13.956155858561397,10.44384740293026,18.205446335487068,0.42959173740819095
7,0.0006806890534136631,0.5080872440710664,15.780214128643275,17.548695080913603,5.05779315251857,1.5337417426519095
8,0.0007756907846450664,0.536083497479558,14.83557770177722,9.07101440243423,11.529952720738947,0.6664949478581548
9,0.0002991344112682563,0.6761949567124248,14.902800544723869,17.171039353124797,13.368425308726728,1.3457483392208816
10,0.00030449993812723265,0.701101004157774,15.9,20.0,18.624088553955605,0.35747575212299754
11,0.00010594329037494463,0.7076041992611667,13.9,15.636737949227806,5.0,0.3
12,8.053583618458097e-05,0.7197207840774026,13.9,19.210201608972188,20.0,0.8633740451054361
13,0.00011660228724339147,0.7203564015422071,13.9,14.47896492703453,5.0,0.7860605373449324
14,0.000173879565909355,0.7330426272650934,13.9,8.825925550488087,20.0,0.3
15,0.00014891026728409748,0.7386465217525278,13.9,20.0,5.0,1.8137908489762542
16,0.0005793165918047945,0.6973290656441657,13.9,5.0,20.0,2.0
17,0.00027446433524106986,0.7421668657355234,15.9,20.0,20.0,2.0
18,0.00042757856919732547,0.7446728403327338,15.9,5.0,5.0,2.0
19,5.266607734459274e-05,0.705950661777188,14.150756203706413,13.222220727353854,20.0,0.3
