Energy	Efficiency(GR)	alpha(norm)
1400	0.2699687766	85.72273382
1405	0.2714591557	85.74251605
1410	0.2729489029	85.76216032
1415	0.2744463215	85.78166901
1420	0.2759661698	85.80104625
1425	0.2774587903	85.82028047
1430	0.2789503501	85.83937767
1435	0.2804543306	85.85834257
1440	0.2819838001	85.87118095
1445	0.2835619045	85.88989188
1450	0.285080852	85.90846095
1455	0.2865928278	85.92690564
1460	0.2880937379	85.94522524
1465	0.2896097398	85.96342616
1470	0.2911130372	85.98150072
1475	0.2925867592	85.99944333
1480	0.2940701308	86.0172672
1485	0.2955490047	86.03497303
1490	0.2970299152	86.05256562
1495	0.2984769056	86.07003585
1500	0.2999230098	86.08738798
1505	0.3013940183	86.10462706
1510	0.3029139493	86.1217554
1515	0.3045090463	86.13877568
1520	0.306114673	86.15567907
1525	0.307767769	86.17247335
1530	0.3094672642	86.18915958
1535	0.3111953577	86.20574031
1540	0.3129342121	86.22221787
1545	0.3145839173	86.23857886
1550	0.3162124719	86.25483606
1555	0.3178268087	86.2709913
1560	0.3194475014	86.28704714
1565	0.3210828366	86.30300492
1570	0.3226638485	86.31885173
1575	0.3242595672	86.33459995
1580	0.3258727934	86.35024984
1585	0.3274971703	86.36580315
1590	0.3291216505	86.38126419
1595	0.3306435216	86.39661846
1600	0.3321054572	86.41187705
1605	0.3335293624	86.42704366
1610	0.3349323864	86.44211853
1615	0.3363688855	86.45710449
1620	0.3378277891	86.46599292
1625	0.3394521484	86.48078651
1630	0.341202778	86.49549342
1635	0.3430498713	86.51010939
1640	0.3449858076	86.5246411
1645	0.3469533005	86.53908214
1650	0.3489650239	86.55342729
1655	0.3510869238	86.56769043
1660	0.3525571434	86.58186962
1665	0.3540388882	86.59596783
1670	0.3555255349	86.60998384
1675	0.3569516068	86.62390426
1680	0.3583880667	86.63774525
1685	0.3598349291	86.65150655
1690	0.3612900883	86.66518889
1695	0.3627643422	86.67879476
1700	0.3642003965	86.69231221
1705	0.3656115959	86.70574605
1710	0.3670159421	86.71910521
1715	0.3683719753	86.73238625
1720	0.3696657495	86.74559349
1725	0.3708818947	86.75872662
1730	0.3719734541	86.77177213
1735	0.37304168	86.78474628
1740	0.3741408254	86.79764901
1745	0.3753204068	86.81047951
1750	0.3766312732	86.82324043
1755	0.3780398733	86.83592422
1760	0.3795216781	86.84852992
1765	0.3810851568	86.86106828
1770	0.3826663398	86.87353845
1775	0.3842255306	86.88594229
1780	0.3857387816	86.8982794
1785	0.3871359682	86.91053678
1790	0.3885536064	86.91672533
1795	0.3899840686	86.92884975
1800	0.391423041	86.94090897
1805	0.3928806898	86.95290461
1810	0.394347915	86.96483729
1815	0.3957295258	86.97669008
1820	0.3971053519	86.9884813
1825	0.398480352	87.00021147
1830	0.3998510687	87.01187837
1835	0.40123569	87.02348607
1840	0.4026191072	87.03503029
1845	0.4039356981	87.04650175
1850	0.4052421386	87.05791361
1855	0.4065176641	87.06926737
1860	0.407729525	87.08056176
1865	0.408881139	87.09179884
1870	0.4099568323	87.10297447
1875	0.4109472608	87.11408309
1880	0.411944784	87.12513512
1885	0.4130008241	87.13613193
1890	0.4141353115	87.14706855
1895	0.415381908	87.15794994
1900	0.4167217118	87.16877358
1905	0.4180918544	87.17953435
1910	0.4195131421	87.19024089
1915	0.4209564293	87.20089439
1920	0.422377644	87.21149415
1925	0.4237640401	87.22204108
1930	0.4251105827	87.23253566
1935	0.4263555041	87.24296479
1940	0.4275758255	87.25334113
1945	0.428797004	87.26366723
1950	0.430023009	87.27394222
1955	0.4312602831	87.28416654
1960	0.4325070216	87.29434028
1965	0.4337152942	87.30445568
1970	0.4348937382	87.31451659
1975	0.4361520587	87.31852944
1980	0.4374286652	87.32849417
1985	0.4386974026	87.3384092
1990	0.4399738763	87.34827778
1995	0.4412224442	87.35809236
2000	0.4424275801	87.36785217
2005	0.4436358032	87.37756574
2010	0.444845648	87.3872338
2015	0.4460456822	87.39685519
2020	0.4472328469	87.40643039
2025	0.4484016476	87.41595939
2030	0.4495312984	87.42543334
2035	0.4506362948	87.43485952
2040	0.4517403514	87.44424195
2045	0.4528509183	87.45358065
2050	0.4539757655	87.46287651
2055	0.455126035	87.4721293
2060	0.4562744938	87.48133477
2065	0.4574099496	87.49048883
2070	0.4585651603	87.49959993
2075	0.4597404254	87.50867024
2080	0.4609268893	87.51769842
2085	0.4621034046	87.52668367
2090	0.4632796689	87.535628
2095	0.4643995455	87.54452266
2100	0.4654948626	87.55337534
2105	0.4665840124	87.56218803
2110	0.4676696955	87.57096145
2115	0.468748487	87.57969337
